id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4dn6rw5Ze1uWrLm1uOk1gu,Stockholm Sweetnin',"Scott Hamilton, Jesper Lundgaard, Jan Lundgren, Kristian Leth, ",0.838,0.602,475680,0.302,0.907,8,0.113,-11.627,1,0.0427,119.758,4,0.3
6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being in Love,"Red Garland, Paul Chambers, Art Taylor, ",0.873,0.571,290293,0.346,0.519,0,0.098,-12.569,0,0.0409,93.885,4,0.687
00CIFNT8kOm61dupysBFp8,Garden of Delight,"Jan Lundgren Trio, ",0.876,0.427,291862,0.287,0.874,11,0.133,-19.834,1,0.0346,104.407,4,0.467
2z6D5bIA9Wprdqi1B8nnVh,New Orleans,"Wynton Marsalis, ",0.714,0.644,340693,0.205,0.0482,10,0.051,-16.005,1,0.0397,118.314,4,0.411
1ykNjOQbYJgZE3pflVB9MN,The Sequel,"Wingspan, ",0.703,0.532,482360,0.364,0.618,9,0.0602,-13.068,0,0.0297,127.166,4,0.271
3MUYNYanSRUNJTJND4BW6Z,Sun Out,"Eric Reed, ",0.82,0.497,304413,0.365,0.803,7,0.0846,-14.489,0,0.0476,123.472,4,0.213
7jib7AfCM6wU5KjaA6Zt5d,Let's Call the Whole Thing Off,"Seamus Blake, Chris Cheek, ",0.679,0.491,549040,0.303,0.0797,5,0.14,-13.365,0,0.0483,142.109,4,0.358
3IUX5LP1PJrneT8YRmZ3zY,Cantaloupe Island,"Nat Adderley, ",0.754,0.616,438133,0.395,0.00223,0,0.0789,-16.249,0,0.0307,117.997,4,0.599
0YlOfF6acp4MSxlNxcslfo,Way 'Cross Town - Originally Performed By Carl Perkins,"Benny Green, Kenny Washington, Peter Washington, ",0.706,0.515,251333,0.327,0.851,6,0.104,-15.817,1,0.0901,91.083,4,0.784
3dtrI8OOHWxMyg6EHNecdt,Gramercy Sunset,"The Hot Sardines, ",0.886,0.466,255107,0.0753,0.927,0,0.0984,-18.864,1,0.0297,87.791,4,0.0877
4f0D7T8yswXUJ62AKLoMtS,One For Daddy-O,"Cannonball Adderley, ",0.581,0.617,505453,0.434,0,5,0.131,-7.257,0,0.031,108.416,4,0.412
5BUzXFDINXfB3VDh1BkmzL,The Runaround,"Peter Edwards Trio, ",0.487,0.539,233023,0.305,0.846,6,0.105,-16.701,1,0.055,127.807,4,0.692
44IDFP9CwgB7tj2HEyY4Zi,Have You Met Miss Jones,"Kenny Garrett Quintet, Mulgrew Miller, Tony Reedus, Nat Reeves, Woody Shaw, ",0.484,0.604,557067,0.237,0.492,5,0.0726,-19.828,1,0.0384,130.248,4,0.43
6OYVeWlKICv4I70RM1yHUC,Sandu,"Clifford Brown, Max Roach Quintet, ",0.651,0.686,297040,0.439,0.167,8,0.102,-9.304,1,0.0546,136.452,4,0.529
